keys,en,es
gameplay,Gameplay,Jugabilidad
graphics,Graphics,Gráficos
audio,Audio,Audio
controls,Controls,Controles
language,Language,Idioma
sensitivity,Mouse Sensitivity,Sensibilidad del ratón
resolution,Resolution,Resolución
display_mode,Display Mode,Modo de pantalla
vsync,VSync,VSync
max_fps,Max FPS,FPS máximos
master_volume,Master Volume,Volumen principal
music_volume,Music Volume,Volumen de música
sfx_volume,SFX Volume,Volumen de efectos
ui_volume,UI Volume,Volumen de interfaz
display_mode_windowed,Windowed,Ventana
display_mode_borderless,Borderless,Sin bordes
display_mode_fullscreen,Fullscreen,Pantalla completa
reset_section,Reset to Defaults,Restablecer valores
